Year,"All Majors","Accounting and Actuarial Science","Advertising and Public Relations","Aerospace Engineering","Agricultural Economics","Animal Sciences","Anthropology and Archeology","Architecture","Area, Ethnic, and Civilization Studies","Art and Music Education","Art History and Criticism","Associates Degree","Biochemistry and Molecular Biology","Biological, Biomedical, and Environmental Engineering","Biology","Botany, Ecology, and Zoology","Business Management and Administration","Chemical Engineering","Chemistry","Civil Engineering","Commercial Art and Graphic Design","Communication Technologies","Communications","Composition and Speech","Computer Engineering","Computer Science","Construction Services","Criminology and Criminal Justice","Drama and Theater Arts","Early Childhood Education","Earth and Other Physical Sciences","Economics","Electrical Engineering","Elementary Education","Energy and Extraction Engineering","Engineering Technologies","English Language and Literature","Environment and Natural Resources","Family and Consumer Sciences","Film, Video and Photographic Arts","Finance","Fine and Studio Arts","General Agriculture","General Education","General Engineering","Geography","Health and Medical Administration","High School Degree or GED","History","Hospitality Management","Human Resources and Personnel Management","Industrial and Manufacturing Engineering","International Business and Business Economics","International Relations","Journalism","Language and Drama Education","Liberal Arts","Linguistics and Foreign Languages","Marketing and Marketing Research","Mass Media","Math and Science Teacher Education","Mathematics and Statistics","Mechanical Engineering","Medical Technologies and Assistance","Microbiology, Physiology, Genetics, and Neuroscience","Multidisciplinary Science","Music","Nursing","Operations and Logistics","Philosophy and Religious Studies","Physical and Health Education Teaching","Physical Fitness, Nutrition, and Sports Studies","Physics","Political Science and Government","Production and Transportation Technologies","Psychology","Public Administration and Policy","Secondary Teacher Education","Social Science or History Teacher Education","Social Work","Sociology","Some College, No Degree","Some High School","Special Needs Education","Theology and Religious Vocations","Treatment Therapy Professions"
0,23547.139,33536.3262,21816.6463,32192.4955,23998.3099,26827.0813,16352.177,22846.6257,12876.9982,15130.4734,21271.2304,16352.177,23547.139,28401.0861,20960.2116,15807.1113,27900.1662,43605.8122,29452.4689,32192.4955,23343.8067,22907.4781,21802.9061,12876.9982,42923.3342,34884.6477,34338.6653,20960.2116,13744.4848,19283.3922,23438.1238,34660.5918,49791.0652,18864.1925,45786.1059,26827.0813,19388.1947,15262.0353,20725.8145,16362.477,34884.6477,13089.9816,23607.8369,21802.9061,42923.3342,29452.4689,17442.329,8285.10473,16954.7167,29344.2983,29433.9289,52326.9767,31440.3174,22893.0478,22637.031,17606.5728,15091.354,17442.329,31440.3174,17878.3795,32488.3218,27253.6352,44695.9539,23178.605,20960.2116,25089.1417,14280.9088,41920.4129,41920.4129,15667.021,12726.5667,14180.8134,31440.3174,21461.6671,22008.216,19634.9827,21802.9061,20943.9788,16352.177,16096.2529,20960.2116,10741.5198,6540.87183,33536.3262,16096.2529,14835.3166
1,23076.196219999998,32865.599676000005,21380.313374,34129.199965108404,23518.343702,26290.539674,16025.13346,22389.693186,12619.458236,14827.863932,20845.805792,16025.13346,23076.196219999998,27833.064378,20541.007368,15490.969074,27342.162876,46057.20646841893,28863.419522,31548.64559,22876.930566,22449.328538,21366.847977999998,12619.458236,45064.14319843643,34186.954746,33651.891994,20541.007368,13469.595104,18897.724356,22969.361324,33967.379964,51929.32893381574,18486.90865,47840.07881743368,26290.539674,19000.430806,14956.794593999999,20311.29821,16035.22746,34186.954746,12828.181967999999,23135.680161999997,21366.847977999998,44846.02936536995,28863.419522,17093.48242,8119.402635399999,16615.622366,28757.412333999997,28845.250322,54253.213443761895,30811.511051999998,22435.186844,22184.29038,17254.441344000003,14789.526919999998,17093.48242,30811.511051999998,17520.81191,31838.555364,26708.562496,46689.26151555603,22715.0329,20541.007368,24587.358866,13995.290624,41082.004642,41082.004642,15353.68058,12472.035366,13897.197132,30811.511051999998,21032.433758,21568.05168,19242.283046,21366.847977999998,20525.099224,16025.13346,15774.327841999999,20541.007368,10526.689404,6410.0543934,32865.599676000005,15774.327841999999,14538.610268
2,22614.672295599998,32208.28768248,20952.70710652,36524.15966976516,23047.97682796,25764.72888052,15704.630790799998,21941.899322279998,12367.069071279999,14531.30665336,20428.889676159997,15704.630790799998,22614.672295599998,30286.94106224294,20130.187220639997,15181.149692519999,26795.319618479996,48972.044382551794,28286.151131559996,33774.61755451629,22419.39195468,22000.341967239998,20939.51101844,12367.069071279999,47386.672698071634,36090.03607267324,35684.82131581516,20130.187220639997,13200.20320192,18519.769868879997,22509.97409752,35804.31697787962,54193.52083820344,18117.170477,50410.67018926869,25764.72888052,18620.42218988,14657.658702119998,19905.0722458,15714.5229108,36018.49266697585,12571.618328639997,22672.966558759996,20939.51101844,46937.86102887535,28286.151131559996,16751.6127716,7957.014582691999,16283.30991868,28182.264087319996,28268.345315559996,56268.0195449435,30195.280830959997,21986.48310712,21740.604572399996,16909.35251712,14493.736381599998,16751.6127716,30195.280830959997,17170.395671799997,31201.78425672,26174.39124608,48932.98792683005,22260.732242,20130.187220639997,24095.611688679997,13715.384811519998,42911.99538089128,42906.01622660557,15046.6069684,12222.594658679998,13619.253189359997,30195.280830959997,20611.785082839997,21136.6906464,18857.43738508,20939.51101844,20114.59723952,15704.630790799998,15458.841285159999,20130.187220639997,10316.155615919999,6281.8533055319995,32208.28768248,15458.841285159999,14247.83806264
3,22162.378849687997,34098.622544623206,20533.6529643896,39111.29536409414,22587.0172914008,25249.434302909598,15390.538174983998,21503.061335834398,12119.727689854399,14240.680520292799,20020.311882636797,15390.538174983998,22162.378849687997,32798.38308596443,19727.5834762272,14877.526698669599,26259.4132261104,51866.332082708686,27720.428108928798,36062.32107138575,21971.0041155864,21560.3351278952,20520.720798071197,12119.727689854399,49765.574355283956,38129.455580465496,37827.44935987764,19727.5834762272,12936.199137881598,18149.374471502397,22059.7746155696,37753.30301219989,56409.77693624562,17754.82706746,53275.59010168188,27802.098088265564,18248.013746082397,14364.505528077598,19506.970800884,15400.232452584,37980.26430966941,12320.185962067198,22219.507227584796,20520.720798071197,49109.625420622215,27720.428108928798,16416.580516168,7797.874291038159,15957.6437203064,27618.618805573595,27702.978409248797,58349.896272705315,29591.3752143408,21546.7534449776,21305.792480951997,16571.165466777602,14203.861653967999,16416.580516168,29591.3752143408,16826.987758363997,30577.7485715856,25650.903421158397,51219.36435791064,21815.517597159997,19727.5834762272,23613.699454906397,13441.077115289598,44745.29743713929,44679.677242014404,14745.674829032,11978.142765506398,13346.868125572799,29591.3752143408,20199.5493811832,20713.956833472,18480.2886373784,20520.720798071197,19712.3052947296,15390.538174983998,15149.664459456799,19727.5834762272,10109.8325036016,6156.216239421359,31564.121928830402,15149.664459456799,13962.881301387199
4,21719.131272694238,35975.73572937334,20122.97990510181,41679.50822607014,22135.276945572783,24744.445616851408,15082.72741148432,21073.00010911771,11877.333136057312,13955.866909886945,19619.905644984065,15082.72741148432,21719.131272694238,35287.20992348313,19333.031806702656,14579.976164696209,25734.224961588192,54755.920725129916,27166.019546750224,38351.57251409006,21531.584033274674,21129.128425337298,20110.306382109775,11877.333136057312,52103.715670117934,40257.928790195874,40073.55078677266,19333.031806702656,12677.475155123968,17786.386982072352,21618.57912325821,39702.016458680795,58608.13422602096,17399.7305261108,67348.95894931708,29932.733142504476,17883.05347116075,14077.215417516047,19116.83138486632,15092.22780353232,39963.642326698224,12073.782242825855,21775.117083033103,20110.306382109775,51342.2731185236,27166.019546750224,16088.24890584464,7641.916805217396,15638.490845900273,27066.246429462128,27148.918841063823,60398.85860087798,28999.547710053983,23563.28928771005,20879.676631332957,16239.74215744205,13919.78442088864,16088.24890584464,28999.547710053983,16490.448003196718,29966.19360015389,25137.885352735233,53528.013552455224,21379.2072452168,19333.031806702656,23141.425465808272,13172.255572983808,46575.45316780065,46618.84999880885,14450.76133245136,11738.579910196271,13079.930763061344,31485.195991523575,19795.558393559535,20299.67769680256,18110.68286463083,20110.306382109775,19318.05918883501,15082.72741148432,14846.671170267664,19333.031806702656,9907.635853529568,6033.0919146329325,30932.839490253795,14846.671170267664,13683.623675359457
5,21284.748647240354,37854.86471987173,19720.52030699977,44347.78624660641,24063.053386906402,24249.55670451438,14781.072863254632,20651.540106935357,11639.786473336164,13676.749571689204,19227.507532084383,14781.072863254632,21284.748647240354,37625.41870683156,18946.3711705686,14288.376641402283,25219.540462356425,67780.08449907032,26622.69915581522,40670.629957225705,21100.952352609176,20706.545856830548,19708.10025446758,11639.786473336164,54616.084856483125,42391.51504259121,42178.975507254276,18946.3711705686,12423.925652021488,17430.659242430902,21186.207540793042,41684.71569679574,60783.17090899652,17051.735915588582,69865.85822445755,32038.34452556926,17525.392401737536,13795.671109165725,18734.49475716899,14790.383247461674,41972.36220061107,11832.306597969337,21339.61474137244,19708.10025446758,53672.310648472485,26622.69915581522,15766.483927727748,7489.0784691130475,15325.721028982267,26524.921500872882,26605.940464242543,62384.58179605825,30950.445589898965,25568.45398331725,20462.0830987063,15914.947314293207,13641.388732470865,15766.483927727748,30771.876416659583,16160.639043132784,29366.86972815081,24635.127645680524,55855.72084906077,20951.623100312463,18946.3711705686,22678.596956492103,12908.81046152413,48350.8005076432,48608.30459550426,14161.746105802333,11503.808311992345,12818.332147800114,33259.56028339701,19399.647225688343,22433.848123274103,17748.469207338214,19708.10025446758,18931.698005058308,14781.072863254632,14549.737746862309,18946.3711705686,9709.483136458975,5912.430076340273,30314.182700448717,14549.737746862309,13409.951201852266
6,20859.053674295545,39730.6071486453,19326.109900859774,47015.935392004656,26016.83649962313,23764.565570424093,14485.45140598954,22578.440087674095,11406.99074386944,13403.21458025542,18842.957381442695,14485.45140598954,23340.403554989454,39859.511625069674,18567.443747157227,14002.609108574237,27030.88025977129,80188.08138384261,28484.374652386297,43008.63275787137,20678.933305556995,20292.414939693936,19313.93824937823,11406.99074386944,57185.16364607689,44524.626773920245,44299.591320533844,18567.443747157227,12175.447138981057,17082.046057582284,20762.48338997718,43697.639400852604,62987.57136261626,16710.701197276812,82492.07476012775,34152.51494052011,17174.884553702785,13519.757686982412,18359.804862025612,14494.57558251244,44071.37251959371,11595.660466009951,20912.82244654499,19313.93824937823,56025.304336625675,26090.245172698913,15451.154249173193,7339.296899730786,15019.206608402621,25994.423070855424,28411.89061292631,64337.781889977196,32935.653945675105,27483.9867577767,20052.84143673217,15596.648368007343,13368.560957821448,15451.154249173193,32632.755323829268,15837.426262270128,28779.53233358779,26549.142130197954,58209.678267489595,20532.590638306214,18567.443747157227,22225.025017362263,12650.634252293647,50050.41287248738,50623.366718832294,13878.511183686285,11273.732145752498,12561.965504844113,35127.47089513004,21398.958585317574,24865.163376336877,17393.49982319145,19313.93824937823,18553.06404495714,14485.45140598954,14258.742991925063,18567.443747157227,9515.293473729796,5794.181474813468,29707.899046439743,14258.742991925063,13141.75217781522
7,22700.639700872624,41550.388172095576,21236.30389030477,49678.91883420373,27965.393386701737,23289.27425901561,14195.742377869748,24594.296316937303,11178.850928992053,13135.150288650311,18466.09823381384,14195.742377869748,25368.94982905061,42111.84314581293,18196.094872214082,13722.556926402753,28846.770358919635,92570.4920242501,30335.757805041172,45397.24848488419,20265.354639445854,19886.56664090006,21210.16849766044,11178.850928992053,70099.82160119982,46642.54896435595,46421.95942485467,18196.094872214082,11931.938196201438,16740.40513643064,22700.1876372445,45840.50172775168,65236.49929748562,16376.487173331276,84519.1435672919,36186.72153669843,16831.38686262873,13249.362533242762,17992.6087647851,14204.684070862191,46206.79904510651,11363.747256689752,20494.56599761409,18927.659484390664,58253.815095529106,27910.83961325737,15142.131164189728,7192.51096173617,14718.822476234569,25474.534609438317,27843.652800667784,66499.82344478609,34858.467492568074,29231.83045038975,19651.784607997528,15284.715400647196,13101.18973866502,15142.131164189728,34492.618747706074,15520.677737024726,28203.941686916038,28605.87719910126,60639.829701096125,22431.816236919687,20478.87063967236,21780.52451701502,12397.621567247774,51683.36098223269,52573.219794379525,13600.94096001256,11048.257502837449,12310.72619474723,36924.506811078354,23435.79239440541,27208.208519217333,17045.62982672762,18927.659484390664,18182.002764057997,14195.742377869748,13973.568132086562,18196.094872214082,9324.9876042552,5678.297845317199,29113.74106551095,13973.568132086562,12878.917134258916
8,24561.114487431387,43402.01208467692,23091.378605624093,61879.0767012578,29824.9657487917,22823.488773835295,13911.827530312354,26477.66916576438,10955.273910412212,12872.447282877305,18096.77626913756,13911.827530312354,27167.013940269077,44206.9277455104,17832.1729747698,13448.105787874698,30680.89347529593,104864.07924197061,32173.683375163288,47716.69981157886,19860.047546656937,21723.447421861092,23109.797901531976,10955.273910412212,83015.35454373491,48810.68672699184,48663.08468948894,17832.1729747698,11693.299432277408,16405.597033702026,24603.320843655623,48050.27862641798,67563.821981171,16048.95742986465,97041.08963305553,38157.23183707885,16494.759125376153,12984.375282577907,17632.756589489396,13920.590389444946,48339.8689370192,11136.472311555955,22346.86246195163,18549.106294702848,60466.9421135491,29615.353930334353,14839.288540905933,7048.660742501447,14424.446026709877,24965.04391724955,29550.233173513723,68720.34748217427,36691.899844081614,31252.188316638454,19258.748915837576,14979.021092634252,12839.165943891718,14839.288540905933,36325.117084122234,15210.26418228423,27639.862853177714,30668.889899472073,63047.95218711627,24331.779375579325,22422.489150602196,23757.415492987715,12149.66913590282,53230.433338373376,54644.78286302406,13328.922140812308,10827.292352780698,12064.511670852286,38768.191041786566,25497.464579111696,29464.042794105404,16704.71723019307,18549.106294702848,17818.362708776836,13911.827530312354,13694.09676944483,17832.1729747698,9138.487852170096,5564.7318884108545,28531.46624420073,13694.09676944483,12621.338791573737
9,26436.89042280017,45329.70935157989,24944.165664841883,73756.84317758295,31757.049581849536,22367.01899835859,13633.590979706107,28299.992350439206,10736.168432203967,12614.998337219758,17734.840743754812,13633.590979706107,29117.355050539838,46468.45181981458,19656.33815328411,13179.143672117203,32513.808324166115,117905.85292407383,33931.50316996791,49982.53921288786,19462.846595723797,23658.955669296938,24976.420286251287,10736.168432203967,96027.78871321658,51034.261836622434,50901.414618148214,19734.821511159116,11459.433443631859,16077.485093027984,26620.111884005608,50268.59529381324,79449.73244915878,15727.978281267357,109267.61744744064,40135.837596023615,16164.863942868631,12724.687776926348,17280.10145769961,13642.178581656048,50410.74898905477,10913.742865324837,24116.869184232306,18178.12416880879,62627.33904298698,31302.490798971976,14542.502770087814,6907.687527651418,16316.864279078707,24465.74303890456,31177.918786051443,80662.98261720318,38455.30705747524,33509.37352304562,21083.756168814707,14679.440670781567,12582.382625013885,14542.502770087814,38104.523610192424,14906.058898638545,27087.06559611416,32632.40657671465,75055.75360799526,26069.122394143036,24480.502766188936,25677.450681948816,11906.675753184762,54728.4065977268,56737.1329869934,13062.343697996062,10610.746505725085,11823.22143743524,40891.5507773905,27552.7845516895,31618.760354283455,16370.622885589206,20392.16664864038,17461.9954546013,13633.590979706107,13420.214834055932,17475.529515274404,8955.718095126695,5453.437250642638,27960.836919316713,13420.214834055932,12368.912015742262
