Year,"All Majors","Accounting and Actuarial Science","Advertising and Public Relations","Aerospace Engineering","Agricultural Economics","Animal Sciences","Anthropology and Archeology","Architecture","Area, Ethnic, and Civilization Studies","Art and Music Education","Art History and Criticism","Associates Degree","Biochemistry and Molecular Biology","Biological, Biomedical, and Environmental Engineering","Biology","Botany, Ecology, and Zoology","Business Management and Administration","Chemical Engineering","Chemistry","Civil Engineering","Commercial Art and Graphic Design","Communication Technologies","Communications","Composition and Speech","Computer Engineering","Computer Science","Construction Services","Criminology and Criminal Justice","Drama and Theater Arts","Early Childhood Education","Earth and Other Physical Sciences","Economics","Electrical Engineering","Elementary Education","Energy and Extraction Engineering","Engineering Technologies","English Language and Literature","Environment and Natural Resources","Family and Consumer Sciences","Film, Video and Photographic Arts","Finance","Fine and Studio Arts","General Agriculture","General Education","General Engineering","Geography","Health and Medical Administration","High School Degree or GED","History","Hospitality Management","Human Resources and Personnel Management","Industrial and Manufacturing Engineering","International Business and Business Economics","International Relations","Journalism","Language and Drama Education","Liberal Arts","Linguistics and Foreign Languages","Marketing and Marketing Research","Mass Media","Math and Science Teacher Education","Mathematics and Statistics","Mechanical Engineering","Medical Technologies and Assistance","Microbiology, Physiology, Genetics, and Neuroscience","Multidisciplinary Science","Music","Nursing","Operations and Logistics","Philosophy and Religious Studies","Physical and Health Education Teaching","Physical Fitness, Nutrition, and Sports Studies","Physics","Political Science and Government","Production and Transportation Technologies","Psychology","Public Administration and Policy","Secondary Teacher Education","Social Science or History Teacher Education","Social Work","Sociology","Some College, No Degree","Some High School","Special Needs Education","Theology and Religious Vocations","Treatment Therapy Professions"
0,23547.139,33536.3262,21816.6463,32192.4955,23998.3099,26827.0813,16352.177,22846.6257,12876.9982,15130.4734,21271.2304,16352.177,23547.139,28401.0861,20960.2116,15807.1113,27900.1662,43605.8122,29452.4689,32192.4955,23343.8067,22907.4781,21802.9061,12876.9982,42923.3342,34884.6477,34338.6653,20960.2116,13744.4848,19283.3922,23438.1238,34660.5918,49791.0652,18864.1925,45786.1059,26827.0813,19388.1947,15262.0353,20725.8145,16362.477,34884.6477,13089.9816,23607.8369,21802.9061,42923.3342,29452.4689,17442.329,8285.10473,16954.7167,29344.2983,29433.9289,52326.9767,31440.3174,22893.0478,22637.031,17606.5728,15091.354,17442.329,31440.3174,17878.3795,32488.3218,27253.6352,44695.9539,23178.605,20960.2116,25089.1417,14280.9088,41920.4129,41920.4129,15667.021,12726.5667,14180.8134,31440.3174,21461.6671,22008.216,19634.9827,21802.9061,20943.9788,16352.177,16096.2529,20960.2116,10741.5198,6540.87183,33536.3262,16096.2529,14835.3166
1,25383.815842,36152.1596436,23518.344711400005,37284.06452410841,25870.1780722,28919.593641400003,17627.646806,24628.6625046,13881.404059600001,16310.650325200004,22930.386371200002,17627.646806,25383.815842,30616.370815800004,22595.108104799998,17040.0659814,30076.379163600002,50330.57606401894,31749.7614742,34703.510149,25164.623622600004,24694.2613918,23503.532775800002,13881.404059600001,49270.62995003643,37605.65022060001,37017.08119340001,22595.108104799998,14816.5546144,20787.4967916,25266.297456400003,37364.117960400006,56808.853323415744,20335.599515,52327.117195633684,28919.593641400003,20900.4738866,16452.4740534,22342.428031000003,17638.750206,37605.65022060001,14111.0001648,25449.2481782,23503.532775800002,49052.51611696995,31749.7614742,18802.830662000004,8931.34289894,18277.184602600002,31633.1535674,31729.775354200003,59381.25716036189,33892.66215720001,24678.7055284,24402.719418,18979.885478400003,16268.479612000001,18802.830662000004,33892.66215720001,19272.893101,35022.410900400006,29379.418745600004,51069.464997756026,24986.536190000003,22595.108104799998,27046.0947526,15394.8196864,45190.2051062,45190.2051062,16889.048638000004,13719.2389026,15286.9168452,33892.66215720001,23135.6771338,23724.856848000003,21166.5113506,23503.532775800002,22577.609146400002,17627.646806,17351.7606262,22595.108104799998,11579.3583444,7051.05983274,36152.1596436,17351.7606262,15992.4712948
2,27363.753477676,38972.02809580081,25352.775598889202,43269.765260947795,27888.051961831603,31175.321945429205,19002.603256868,26549.698179958803,14964.153576248802,17582.881050565604,24718.956508153602,19002.603256868,27363.753477676,36014.98571123535,24357.526536974397,18369.1911279492,32422.336738360802,58092.34304051365,34226.2428691876,40267.328816938294,27127.464265162802,26620.413780360403,25336.8083323124,14964.153576248802,56337.55144974321,43125.71135940005,42610.38068818037,24357.526536974397,15972.245874323202,22408.9215413448,27237.068657999203,42794.803774470834,64542.72236570618,21921.776277170004,59936.0252850768,31175.321945429205,22530.710849754803,17735.767029565202,24085.137417418002,19014.572722068002,43054.16795370266,15211.6581776544,27434.2895360996,25336.8083323124,55867.364624906404,34226.2428691876,20269.451453636004,9627.98764505732,19702.805001602806,34100.5395456572,34204.6978318276,67112.86558892697,36536.28980546161,26603.644559615204,26306.131532604,20460.316545715203,17537.421021736,20269.451453636004,36536.28980546161,20776.178762878,37754.1589506312,31671.013407756804,58230.39490916615,26935.48601282,24357.526536974397,29155.690143302803,16595.6156219392,51366.67193621489,51360.69278192918,18206.394431764005,14789.339537002801,16479.296359125598,36536.28980546161,24940.2599502364,25575.395682144,22817.4992359468,25336.8083323124,24338.6626598192,19002.603256868,18705.197955043597,24357.526536974397,12482.548295263201,7601.042499693721,38972.02809580081,18705.197955043597,17239.884055794402
3,29498.126248934732,44546.34690306608,27330.292095602563,49962.425839026015,30063.32001485447,33606.99705717268,20484.806310903703,28620.574637995593,16131.35755519621,18954.345772509725,26647.035115789586,20484.806310903703,29498.126248934732,41941.33544167806,26257.413606858405,19801.988035929237,34951.27900395294,66497.27438548167,36895.889812984235,46371.37633261927,29243.406477845503,28696.806055228513,27313.079382232772,16131.35755519621,64058.51557399694,49250.737074678975,48790.31485223722,26257.413606858405,17218.081052520414,24156.8174215697,29361.560013323142,48797.870842757424,72877.1812250375,23631.674826789265,68484.16857351136,36159.66084252864,24288.10629603568,19119.156857871287,25963.77813597661,20497.70939438931,49094.53455012455,16398.167515511446,29574.16411991537,27313.079382232772,63335.54067797349,36895.889812984235,21850.468667019613,10378.970681371791,21239.623791727823,36760.381630218464,36872.66426271016,75554.90622352397,39386.12041028762,28678.728835265192,28358.009792147113,22056.22123628099,18905.33986143141,21850.468667019613,39386.12041028762,22396.720706382483,40698.983348780435,34141.35245356184,66037.40190169832,29036.45392181996,26257.413606858405,31429.833974480425,17890.07364045046,58064.81431110548,57998.6081588606,19626.4931974416,15942.90802088902,17764.681475137397,39386.12041028762,26885.60022635484,27570.276545351237,24597.26417635065,27313.079382232772,26237.0783472851,20484.806310903703,20164.203395537003,26257.413606858405,13456.187062293731,8193.923814669832,42011.84628727327,20164.203395537003,18584.59501214637
4,31798.980096351643,50580.04759714784,29462.054879059568,57209.93382372792,32408.258976013123,36228.34282763216,22082.621203154195,30852.97945975925,17389.603444501518,20432.784742765485,28725.503854821178,22082.621203154195,31798.980096351643,48357.554105366944,28305.491868193363,21346.54310273172,37677.47876626128,75610.97707162464,39773.76921839701,52998.84155069561,31524.39218311746,30935.156927536344,29443.499574046935,17389.603444501518,72388.53259070838,55983.356887843634,55598.609824804305,28305.491868193363,18561.091374617008,26041.049180452137,31651.761694362354,55307.88427521741,81888.15418909068,25474.945463278833,88964.81437191408,41666.79140425011,26182.578587126467,20610.45109278525,27988.952830582784,22096.53072715168,55666.89154825647,17677.224581721344,31880.948921268777,29443.499574046935,71490.55305716925,39773.76921839701,23554.805223047148,11188.530394518793,22896.314447482597,39627.691397375514,39748.73207520156,84664.14916258563,42458.23780229006,33363.14059604788,30569.934555934593,23776.60649271091,20379.956370623066,23554.805223047148,42458.23780229006,24143.66492148032,43873.50404998532,36804.37794493967,74521.35573173358,31301.297327721924,28305.491868193363,33881.36102448991,19285.4993844056,65318.931506775865,65355.26589688647,21157.359666842047,17186.454846518365,19150.326630198117,44943.88608375965,28982.67704401052,29720.758115888635,26515.85078210601,29443.499574046935,28283.570458373346,22082.621203154195,21737.011260388892,28305.491868193363,14505.769653152645,8833.04987221408,45288.770297680596,21737.011260388892,20034.19342309379
5,34279.300543867066,57123.935014811235,31760.095159626213,65174.17684703638,37306.58515638723,39054.15356818747,23805.06565700022,33259.51185762047,18745.992513172638,22026.541952701195,30966.093155497227,23805.06565700022,34279.300543867066,55173.39630740366,30513.320233912447,23011.573464744797,40616.322110029665,95627.91547165439,42876.123217431974,60218.84008506731,33983.29477340062,33348.09916788418,31740.092540822592,18745.992513172638,81589.28163255118,63288.80355329468,62842.197127356114,30513.320233912447,20008.856501837134,28072.251016527407,34120.59910652262,62398.63881597293,91622.62958333574,27461.991209414584,99767.9483470502,47621.06717969649,28224.81971692233,22218.0662780225,30172.091151368244,23820.06012386951,62816.90180946728,19056.048099095606,34367.662937127745,31740.092540822592,80423.69918794782,42876.123217431974,25392.080030444824,12061.235765291258,24682.226974386238,42718.6513263708,42849.133177067284,94461.65316446513,48300.86918491474,38441.89604390101,32954.389451297495,25631.18179914236,21969.592967531662,25392.080030444824,48122.30001167537,26026.870785355786,47295.63736588418,39675.11942464496,83732.28904646345,33742.79851928424,30513.320233912447,36524.10718440012,20789.76833638924,73120.66456750296,73374.8082335152,22807.63372085573,18526.9983245468,20644.052107353567,50853.57740999681,31243.325853443344,34579.141229335546,28584.087143110275,31740.092540822592,30489.68895412646,23805.06565700022,23432.498138699226,30513.320233912447,15637.219686098551,9522.027762246778,48821.29438089968,23432.498138699226,21596.860510095106
6,36953.0859862887,64212.441669137515,34237.38258207706,73812.8675114356,42651.54297904029,42100.37754650609,25661.860778246242,38193.68456539231,20208.179929200105,23744.612225011886,33381.44842162601,25661.860778246242,39434.43586698261,62463.522511755895,32893.35921215762,24806.476194994895,46100.12584127398,116850.49145319713,48614.59030807906,68067.32501149274,36633.99176572588,35949.25090297915,34215.81975900676,20208.179929200105,91614.6460866136,71206.27226263254,70708.08382671453,32893.35921215762,21569.547308980433,30261.886595816544,36782.005836831384,70112.35066161159,102189.25856263562,29604.026523748922,121573.38201827947,54090.44772517506,30426.355654842275,23951.07544770826,32525.514261174965,25678.024813531334,70655.07771360058,20542.419850825067,37048.34064622371,34215.81975900676,90123.1876257304,46220.460828391675,27372.66227281952,13002.012154983977,26607.440678388368,46050.706129827726,48529.43452284715,105030.55384113351,54672.554248912216,43867.26578945109,35524.831828498696,27630.413979475466,23683.221218999137,27372.66227281952,54352.15584808892,28056.96670661354,50984.697080423146,45176.4957771983,93734.47942749764,36374.73680378841,32893.35921215762,39372.98754478333,22411.3702666276,81490.70477876523,82085.2714909675,24586.629151082478,19972.104193861447,22254.288171727152,57353.25826537754,36067.60957415492,40156.30646075198,30813.645940272876,34215.81975900676,32867.88469254832,25661.860778246242,25260.232993517766,32893.35921215762,16856.92282161424,10264.745927702028,52629.35534260986,25260.232993517766,23281.415629882526
7,42094.193793282204,71835.40528575343,39204.61461094126,83173.57332736674,48447.25694847651,45384.206995133565,27663.48591894945,43640.2169925096,21784.417963677715,25596.69197856282,35985.20139851284,27663.48591894945,45005.6762097682,70385.19902091751,35459.041230705916,26741.3813382045,52052.44336123712,139951.00205463087,54827.59899781184,76625.36474455943,39491.4431234525,38753.29247341152,39167.16271347907,21784.417963677715,112818.94970941395,79768.776225032,79231.67429592977,35459.041230705916,23251.97199908091,32622.313750290235,42003.9562071711,78597.92912813344,113668.70009264287,31913.14059260134,134733.016118072,61026.759542727435,32799.61139591998,25819.259332629506,35062.50437354662,27680.91074898678,79183.02775116613,22144.72859918942,39938.111216629164,36884.65370020929,100501.8131061733,52168.056117018656,29507.729930099445,14016.16910307273,28682.821051302664,49642.66120795429,52314.73041562924,116671.7342333504,61518.540106133856,49586.43594879687,38295.7687111216,29785.586269874555,25530.51247408107,29507.729930099445,61104.14253459326,30245.410109729397,54961.50345269616,51287.98035932704,104640.11382179879,41521.84368586351,37741.8169981642,42444.08057327644,24159.457147424553,90480.93611870399,91450.24307718685,26504.386224866914,21529.928320982646,23990.122649121873,64326.397743927904,41345.6961017332,46128.84677509783,33217.110323614164,36884.65370020929,35431.579698567104,27663.48591894945,27230.531167012155,35459.041230705916,18171.762801700155,11065.396110062788,56734.445059333426,27230.531167012155,25097.366049013366
8,47692.02848973443,80121.19857406546,44542.3753437201,102854.8482906395,54645.02322028168,48924.175140753985,29821.23782062751,49419.41269309117,23483.60256484458,27593.23395289072,38792.047107596845,29821.23782062751,50821.562061929595,78812.56600716281,38224.846446700976,28827.20908258445,58523.592466968315,165012.1772730976,61548.792445864114,85829.53949102742,42571.7756870818,44010.66140011665,44546.03417895519,23483.60256484458,135936.35716130733,89091.7295125075,88581.30934414366,38224.846446700976,25065.62581500922,35166.85422281287,47637.40175048645,87855.1545333492,126166.91136950412,34402.36555882425,159454.52031239108,68481.09151817455,35357.98108480174,27833.16156057461,37797.37971468325,29840.021787407746,88416.5097885719,23872.017429926196,45315.47167581606,39761.65668882561,111719.15784838541,58499.89560348825,31809.332864647204,15109.430293112402,30920.08109330427,53514.78878217473,58658.73281690762,129322.65000983565,68847.5879357772,56059.17242805954,41282.83867058909,32108.86199892477,27521.892447059396,31809.332864647204,68392.61636366181,32604.55209828829,59248.50072200646,57923.5730717074,116422.9617799412,47109.1469567589,43038.874647744284,48167.220324305,26043.89480492367,100119.18871174824,101706.38950173957,28571.72835040653,23209.262730019294,25861.35221575338,71926.03113488406,47101.04843026279,52526.89526882789,35808.04492885607,39761.65668882561,38195.242915055336,29821.23782062751,29354.512598039106,38224.846446700976,19589.16030023277,11928.497006647685,61159.73177396144,29354.512598039106,27054.96060083641
9,53779.00493705114,89166.3895714391,50331.295251860545,123992.87446765968,61435.91817949732,52740.2608017328,32147.294370636457,55626.003451142395,25315.323564902457,29745.5062012162,41817.8267819894,32147.294370636457,57279.32529183626,88105.6087849359,43387.193107553365,31075.73139102604,65534.96539776795,193022.18236734185,68750.8917189494,95744.41696886814,45892.37419067418,49813.47018519882,50349.44318766365,25315.323564902457,161212.13428024566,99240.67325865352,98702.24309543593,43465.67646542836,27020.74462857994,37909.86885219228,53861.976544247496,97887.17882687406,149245.11736393662,37085.75007241254,186059.32250380382,76564.36705227853,38115.90360941627,30004.148162299432,40745.57533242855,32167.54348682555,98350.67498285648,25734.034789460442,51067.022438049426,42863.06591055401,123802.98793226834,65342.331407804646,34290.460828089694,16287.96585597517,35512.75459148503,57688.94230718436,65452.80425263441,152726.8587952752,76714.94500504309,63314.016850188134,46713.08231818892,34613.353234840906,29668.60005793003,34290.460828089694,76233.14930778008,35147.70716195478,63869.88377832297,65018.50624653259,138772.71326339792,53007.639025461394,48902.370268867126,54319.44700842165,28075.318599707723,110491.06735738549,112824.73366410508,30800.32316173824,25019.5852229608,27878.537688582146,80434.9851198447,53340.19947198333,59367.99151585662,38601.07243330685,45077.1083903856,41174.47186242966,32147.294370636457,31644.16458068616,41206.38446954366,21117.114803650926,12858.919773166206,65930.19085233043,31644.16458068616,29165.24752770165
